user_id,attributed_lp_name,first_lp_cta_click_ts,cohort_date,first_install_ts,first_try_ts,first_product_feature,installed_after_click,tried_after_install,qualified_activated,repeat_try_count_7d,is_repeat_try_user,time_to_install_hours,time_to_first_value_hours,attribution_window_days
u_00001,lp_academic_writing,2026-02-26 23:44:22+00:00,2026-02-26,,,,False,False,False,0,0,,,7
u_00002,lp_business_emails,2026-02-12 12:07:12+00:00,2026-02-12,2026-02-12 12:09:12+00:00,,,True,False,False,0,0,0.03333333333333333,,7
u_00003,lp_business_emails,2026-02-14 05:23:29+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00004,lp_academic_writing,2026-02-27 12:10:03+00:00,2026-02-27,,,,False,False,False,0,0,,,7
u_00005,lp_business_emails,2026-02-18 01:14:12+00:00,2026-02-18,2026-02-18 01:17:12+00:00,,,True,False,False,0,0,0.05,,7
u_00006,lp_business_emails,2026-02-19 12:28:13+00:00,2026-02-19,,,,False,False,False,0,0,,,7
u_00007,lp_business_emails,2026-02-14 23:38:45+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00008,lp_academic_writing,2026-02-11 13:19:50+00:00,2026-02-11,,,,False,False,False,0,0,,,7
u_00009,lp_business_emails,2026-02-14 08:34:34+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00010,lp_academic_writing,2026-02-09 13:11:35+00:00,2026-02-09,,,,False,False,False,0,0,,,7
u_00011,lp_business_emails,2026-02-13 04:10:03+00:00,2026-02-13,,,,False,False,False,0,0,,,7
u_00012,lp_academic_writing,2026-02-19 04:58:36+00:00,2026-02-19,,,,False,False,False,0,0,,,7
u_00013,lp_business_emails,2026-02-14 17:48:24+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00014,lp_business_emails,2026-02-06 16:10:58+00:00,2026-02-06,,,,False,False,False,0,0,,,7
u_00015,lp_business_emails,2026-02-15 16:58:31+00:00,2026-02-15,,,,False,False,False,0,0,,,7
u_00016,lp_business_emails,2026-02-07 12:23:11+00:00,2026-02-07,,,,False,False,False,0,0,,,7
u_00017,lp_academic_writing,2026-02-12 14:53:19+00:00,2026-02-12,2026-02-12 14:58:19+00:00,2026-02-12 15:26:19+00:00,academic_citation_helper,True,True,True,1,0,0.08333333333333333,0.55,7
u_00018,lp_academic_writing,2026-02-13 01:21:00+00:00,2026-02-13,2026-02-13 01:28:00+00:00,,,True,False,False,0,0,0.11666666666666667,,7
u_00019,lp_academic_writing,2026-02-22 11:32:19+00:00,2026-02-22,,,,False,False,False,0,0,,,7
u_00020,lp_academic_writing,2026-02-10 08:39:53+00:00,2026-02-10,,,,False,False,False,0,0,,,7
u_00021,lp_academic_writing,2026-02-25 11:51:57+00:00,2026-02-25,,,,False,False,False,0,0,,,7
u_00022,lp_academic_writing,2026-02-21 11:48:37+00:00,2026-02-21,,,,False,False,False,0,0,,,7
u_00023,lp_business_emails,2026-02-10 18:39:50+00:00,2026-02-10,,,,False,False,False,0,0,,,7
u_00024,lp_academic_writing,2026-02-20 19:06:21+00:00,2026-02-20,,,,False,False,False,0,0,,,7
u_00025,lp_business_emails,2026-02-17 20:04:25+00:00,2026-02-17,2026-02-17 20:07:25+00:00,,,True,False,False,0,0,0.05,,7
u_00026,lp_academic_writing,2026-02-03 23:46:06+00:00,2026-02-03,,,,False,False,False,0,0,,,7
u_00027,lp_business_emails,2026-02-12 21:33:31+00:00,2026-02-12,,,,False,False,False,0,0,,,7
u_00028,lp_academic_writing,2026-02-02 02:26:56+00:00,2026-02-02,,,,False,False,False,0,0,,,7
u_00029,lp_business_emails,2026-02-14 12:17:53+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00030,lp_business_emails,2026-02-18 17:24:43+00:00,2026-02-18,2026-02-18 17:26:43+00:00,,,True,False,False,0,0,0.03333333333333333,,7
u_00031,lp_business_emails,2026-02-15 13:54:57+00:00,2026-02-15,,,,False,False,False,0,0,,,7
u_00032,lp_academic_writing,2026-02-27 12:46:20+00:00,2026-02-27,2026-02-27 12:56:20+00:00,,,True,False,False,0,0,0.16666666666666666,,7
u_00033,lp_business_emails,2026-02-10 05:06:05+00:00,2026-02-10,2026-02-10 05:19:05+00:00,,,True,False,False,0,0,0.21666666666666667,,7
u_00034,lp_business_emails,2026-02-06 02:45:05+00:00,2026-02-06,2026-02-06 02:58:05+00:00,,,True,False,False,0,0,0.21666666666666667,,7
u_00035,lp_academic_writing,2026-02-28 17:57:21+00:00,2026-02-28,,,,False,False,False,0,0,,,7
u_00036,lp_academic_writing,2026-02-16 18:43:28+00:00,2026-02-16,2026-02-16 18:50:28+00:00,,,True,False,False,0,0,0.11666666666666667,,7
u_00037,lp_academic_writing,2026-02-02 17:59:27+00:00,2026-02-02,,,,False,False,False,0,0,,,7
u_00038,lp_academic_writing,2026-02-17 05:16:58+00:00,2026-02-17,,,,False,False,False,0,0,,,7
u_00039,lp_business_emails,2026-02-26 16:07:02+00:00,2026-02-26,2026-02-26 16:20:02+00:00,,,True,False,False,0,0,0.21666666666666667,,7
u_00040,lp_business_emails,2026-02-21 09:15:35+00:00,2026-02-21,,,,False,False,False,0,0,,,7
u_00041,lp_academic_writing,2026-02-17 01:46:04+00:00,2026-02-17,,,,False,False,False,0,0,,,7
u_00042,lp_business_emails,2026-02-15 16:07:30+00:00,2026-02-15,,,,False,False,False,0,0,,,7
u_00043,lp_academic_writing,2026-02-07 19:54:19+00:00,2026-02-07,,,,False,False,False,0,0,,,7
u_00044,lp_business_emails,2026-02-20 15:14:42+00:00,2026-02-20,,,,False,False,False,0,0,,,7
u_00045,lp_academic_writing,2026-02-16 20:34:44+00:00,2026-02-16,,,,False,False,False,0,0,,,7
u_00046,lp_academic_writing,2026-02-04 21:21:21+00:00,2026-02-04,2026-02-04 21:31:21+00:00,,,True,False,False,0,0,0.16666666666666666,,7
u_00047,lp_academic_writing,2026-02-14 06:39:32+00:00,2026-02-14,,,,False,False,False,0,0,,,7
u_00048,lp_business_emails,2026-02-15 13:37:35+00:00,2026-02-15,,,,False,False,False,0,0,,,7
u_00049,lp_academic_writing,2026-02-20 06:49:46+00:00,2026-02-20,,,,False,False,False,0,0,,,7
u_00050,lp_academic_writing,2026-02-14 02:58:15+00:00,2026-02-14,2026-02-14 03:04:15+00:00,2026-02-14 03:49:15+00:00,academic_citation_helper,True,True,True,2,1,0.1,0.85,7
u_00051,lp_business_emails,2026-02-24 12:03:37+00:00,2026-02-24,2026-02-24 12:17:37+00:00,2026-02-24 13:12:37+00:00,smart_email_reply,True,True,True,2,1,0.23333333333333334,1.15,7
u_00052,lp_business_emails,2026-02-04 22:26:16+00:00,2026-02-04,,,,False,False,False,0,0,,,7
u_00053,lp_business_emails,2026-02-11 21:34:23+00:00,2026-02-11,,,,False,False,False,0,0,,,7
u_00054,lp_business_emails,2026-02-02 02:20:23+00:00,2026-02-02,2026-02-02 02:30:23+00:00,,,True,False,False,0,0,0.16666666666666666,,7
u_00055,lp_academic_writing,2026-02-04 06:54:30+00:00,2026-02-04,,,,False,False,False,0,0,,,7
u_00056,lp_academic_writing,2026-02-01 13:41:10+00:00,2026-02-01,,,,False,False,False,0,0,,,7
u_00057,lp_business_emails,2026-02-24 10:15:38+00:00,2026-02-24,,,,False,False,False,0,0,,,7
u_00058,lp_business_emails,2026-02-04 02:05:50+00:00,2026-02-04,,,,False,False,False,0,0,,,7
u_00059,lp_academic_writing,2026-02-11 00:38:58+00:00,2026-02-11,,,,False,False,False,0,0,,,7
u_00060,lp_business_emails,2026-02-21 01:38:07+00:00,2026-02-21,2026-02-21 01:39:07+00:00,,,True,False,False,0,0,0.016666666666666666,,7
u_00061,lp_business_emails,2026-02-13 02:30:48+00:00,2026-02-13,,,,False,False,False,0,0,,,7
u_00062,lp_academic_writing,2026-02-12 03:55:18+00:00,2026-02-12,,,,False,False,False,0,0,,,7
u_00063,lp_business_emails,2026-02-12 16:57:53+00:00,2026-02-12,2026-02-12 17:01:53+00:00,2026-02-12 17:04:53+00:00,smart_email_reply,True,True,True,1,0,0.06666666666666667,0.11666666666666667,7
u_00064,lp_business_emails,2026-02-02 16:55:51+00:00,2026-02-02,2026-02-02 17:04:51+00:00,2026-02-02 17:43:51+00:00,smart_email_reply,True,True,True,1,0,0.15,0.8,7
u_00065,lp_academic_writing,2026-02-01 06:30:04+00:00,2026-02-01,2026-02-01 06:34:04+00:00,2026-02-01 07:07:04+00:00,academic_citation_helper,True,True,True,3,1,0.06666666666666667,0.6166666666666667,7
