session_id,user_id,action,extra,timestamp,event_date,lp_name,product_feature,extra_parse_error,is_known_action
2d204c51-a38,u_00001,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-26 23:44:22+00:00,2026-02-26,lp_academic_writing,,,True
66b871a9-753,u_00002,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-12 12:07:12+00:00,2026-02-12,lp_business_emails,,,True
cc1a87c3-921,u_00002,did_install_grammarly,{},2026-02-12 12:09:12+00:00,2026-02-12,,,,True
749addb9-e65,u_00003,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-14 05:23:29+00:00,2026-02-14,lp_business_emails,,,True
2fa9c162-a42,u_00004,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-27 12:10:03+00:00,2026-02-27,lp_academic_writing,,,True
7547c5a8-43f,u_00005,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-18 01:14:12+00:00,2026-02-18,lp_business_emails,,,True
f6011e8a-8cf,u_00005,did_install_grammarly,{},2026-02-18 01:17:12+00:00,2026-02-18,,,,True
fb33b6ea-0c3,u_00006,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-19 12:28:13+00:00,2026-02-19,lp_business_emails,,,True
4cb0c1c6-d0c,u_00007,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-14 23:38:45+00:00,2026-02-14,lp_business_emails,,,True
e63ec814-c4d,u_00008,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-11 13:19:50+00:00,2026-02-11,lp_academic_writing,,,True
1cb1de06-750,u_00009,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-14 08:34:34+00:00,2026-02-14,lp_business_emails,,,True
dc499d35-190,u_00010,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-09 13:11:35+00:00,2026-02-09,lp_academic_writing,,,True
c8cfbbd6-a73,u_00011,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-13 04:10:03+00:00,2026-02-13,lp_business_emails,,,True
39e4b91d-5a3,u_00012,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-19 04:58:36+00:00,2026-02-19,lp_academic_writing,,,True
f0552dec-a67,u_00013,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-14 17:48:24+00:00,2026-02-14,lp_business_emails,,,True
9b778c0e-560,u_00014,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-06 16:10:58+00:00,2026-02-06,lp_business_emails,,,True
f131ed67-c8f,u_00015,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-15 16:58:31+00:00,2026-02-15,lp_business_emails,,,True
2559c39e-f70,u_00016,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-07 12:23:11+00:00,2026-02-07,lp_business_emails,,,True
fd9838cf-5ad,u_00017,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-12 14:53:19+00:00,2026-02-12,lp_academic_writing,,,True
0b3a581b-eef,u_00017,did_install_grammarly,{},2026-02-12 14:58:19+00:00,2026-02-12,,,,True
45284e9c-e25,u_00017,try_grammarly,"{""product_feature"": ""academic_citation_helper""}",2026-02-12 15:26:19+00:00,2026-02-12,,academic_citation_helper,,True
ea578f75-b72,u_00018,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-13 01:21:00+00:00,2026-02-13,lp_academic_writing,,,True
d61bf00b-31d,u_00018,did_install_grammarly,{},2026-02-13 01:28:00+00:00,2026-02-13,,,,True
881e7a5a-4aa,u_00019,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-22 11:32:19+00:00,2026-02-22,lp_academic_writing,,,True
121893d5-d9f,u_00020,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-10 08:39:53+00:00,2026-02-10,lp_academic_writing,,,True
1348c024-e89,u_00021,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-25 11:51:57+00:00,2026-02-25,lp_academic_writing,,,True
44e5043c-593,u_00022,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-21 11:48:37+00:00,2026-02-21,lp_academic_writing,,,True
9a6c343e-119,u_00023,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-10 18:39:50+00:00,2026-02-10,lp_business_emails,,,True
dd456916-81a,u_00024,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-20 19:06:21+00:00,2026-02-20,lp_academic_writing,,,True
1d55a409-e74,u_00025,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-17 20:04:25+00:00,2026-02-17,lp_business_emails,,,True
60ea8119-123,u_00025,did_install_grammarly,{},2026-02-17 20:07:25+00:00,2026-02-17,,,,True
f6c84cc8-95a,u_00026,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-03 23:46:06+00:00,2026-02-03,lp_academic_writing,,,True
8c3a3ef2-fbe,u_00027,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-12 21:33:31+00:00,2026-02-12,lp_business_emails,,,True
f8e4a62f-a6a,u_00028,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-02 02:26:56+00:00,2026-02-02,lp_academic_writing,,,True
76ac8aa2-427,u_00029,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-14 12:17:53+00:00,2026-02-14,lp_business_emails,,,True
dff0199a-b6c,u_00030,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-18 17:24:43+00:00,2026-02-18,lp_business_emails,,,True
3ae462b1-ee7,u_00030,did_install_grammarly,{},2026-02-18 17:26:43+00:00,2026-02-18,,,,True
4e6efc32-b16,u_00031,did_click_lp,"{""lp_name"": ""lp_business_emails""}",2026-02-15 13:54:57+00:00,2026-02-15,lp_business_emails,,,True
b443bfea-e9a,u_00032,did_click_lp,"{""lp_name"": ""lp_academic_writing""}",2026-02-27 12:46:20+00:00,2026-02-27,lp_academic_writing,,,True
