cohort_date,attributed_lp_name,lp_cta_click_users,install_users,try_users,install_cvr,activation_cvr,install_to_try_rate
2026-02-01,lp_academic_writing,65,30,18,0.46153846153846156,0.27692307692307694,0.6
2026-02-01,lp_business_emails,56,30,17,0.5357142857142857,0.30357142857142855,0.5666666666666667
2026-02-02,lp_academic_writing,62,24,11,0.3870967741935484,0.1774193548387097,0.4583333333333333
2026-02-02,lp_business_emails,52,19,11,0.36538461538461536,0.21153846153846154,0.5789473684210527
2026-02-03,lp_academic_writing,62,21,14,0.3387096774193548,0.22580645161290322,0.6666666666666666
2026-02-03,lp_business_emails,60,25,10,0.4166666666666667,0.16666666666666666,0.4
2026-02-04,lp_academic_writing,56,20,13,0.35714285714285715,0.23214285714285715,0.65
2026-02-04,lp_business_emails,40,13,5,0.325,0.125,0.38461538461538464
2026-02-05,lp_academic_writing,50,18,11,0.36,0.22,0.6111111111111112
2026-02-05,lp_business_emails,77,28,17,0.36363636363636365,0.22077922077922077,0.6071428571428571
2026-02-06,lp_academic_writing,58,24,12,0.41379310344827586,0.20689655172413793,0.5
2026-02-06,lp_business_emails,52,25,8,0.4807692307692308,0.15384615384615385,0.32
2026-02-07,lp_academic_writing,47,22,14,0.46808510638297873,0.2978723404255319,0.6363636363636364
2026-02-07,lp_business_emails,48,19,10,0.3958333333333333,0.20833333333333334,0.5263157894736842
2026-02-08,lp_academic_writing,61,23,12,0.3770491803278688,0.19672131147540983,0.5217391304347826
2026-02-08,lp_business_emails,48,21,6,0.4375,0.125,0.2857142857142857
2026-02-09,lp_academic_writing,66,25,14,0.3787878787878788,0.21212121212121213,0.56
2026-02-09,lp_business_emails,67,24,15,0.3582089552238806,0.22388059701492538,0.625
2026-02-10,lp_academic_writing,52,17,8,0.3269230769230769,0.15384615384615385,0.47058823529411764
2026-02-10,lp_business_emails,40,12,8,0.3,0.2,0.6666666666666666
2026-02-11,lp_academic_writing,69,25,13,0.36231884057971014,0.18840579710144928,0.52
2026-02-11,lp_business_emails,75,30,16,0.4,0.21333333333333335,0.5333333333333333
2026-02-12,lp_academic_writing,59,21,13,0.3559322033898305,0.22033898305084745,0.6190476190476191
2026-02-12,lp_business_emails,66,22,11,0.3333333333333333,0.16666666666666666,0.5
2026-02-13,lp_academic_writing,64,24,15,0.375,0.234375,0.625
2026-02-13,lp_business_emails,73,31,12,0.4246575342465753,0.1643835616438356,0.3870967741935484
2026-02-14,lp_academic_writing,77,34,24,0.44155844155844154,0.3116883116883117,0.7058823529411765
2026-02-14,lp_business_emails,62,8,5,0.12903225806451613,0.08064516129032258,0.625
2026-02-15,lp_academic_writing,59,25,16,0.423728813559322,0.2711864406779661,0.64
2026-02-15,lp_business_emails,57,19,7,0.3333333333333333,0.12280701754385964,0.3684210526315789
2026-02-16,lp_academic_writing,50,22,15,0.44,0.3,0.6818181818181818
2026-02-16,lp_business_emails,52,22,10,0.4230769230769231,0.19230769230769232,0.45454545454545453
2026-02-17,lp_academic_writing,59,23,12,0.3898305084745763,0.2033898305084746,0.5217391304347826
2026-02-17,lp_business_emails,59,23,12,0.3898305084745763,0.2033898305084746,0.5217391304347826
2026-02-18,lp_academic_writing,52,25,16,0.4807692307692308,0.3076923076923077,0.64
2026-02-18,lp_business_emails,53,19,11,0.3584905660377358,0.20754716981132076,0.5789473684210527
2026-02-19,lp_academic_writing,64,18,12,0.28125,0.1875,0.6666666666666666
2026-02-19,lp_business_emails,55,18,8,0.32727272727272727,0.14545454545454545,0.4444444444444444
2026-02-20,lp_academic_writing,48,20,12,0.4166666666666667,0.25,0.6
2026-02-20,lp_business_emails,56,17,11,0.30357142857142855,0.19642857142857142,0.6470588235294118
2026-02-21,lp_academic_writing,56,21,10,0.375,0.17857142857142858,0.47619047619047616
2026-02-21,lp_business_emails,50,12,9,0.24,0.18,0.75
2026-02-22,lp_academic_writing,50,16,8,0.32,0.16,0.5
2026-02-22,lp_business_emails,64,25,9,0.390625,0.140625,0.36
2026-02-23,lp_academic_writing,55,26,15,0.4727272727272727,0.2727272727272727,0.5769230769230769
2026-02-23,lp_business_emails,50,25,14,0.5,0.28,0.56
2026-02-24,lp_academic_writing,60,25,12,0.4166666666666667,0.2,0.48
2026-02-24,lp_business_emails,63,19,7,0.30158730158730157,0.1111111111111111,0.3684210526315789
2026-02-25,lp_academic_writing,57,23,11,0.40350877192982454,0.19298245614035087,0.4782608695652174
2026-02-25,lp_business_emails,67,31,18,0.4626865671641791,0.26865671641791045,0.5806451612903226
2026-02-26,lp_academic_writing,63,30,15,0.47619047619047616,0.23809523809523808,0.5
2026-02-26,lp_business_emails,49,22,12,0.4489795918367347,0.24489795918367346,0.5454545454545454
2026-02-27,lp_academic_writing,43,18,10,0.4186046511627907,0.23255813953488372,0.5555555555555556
2026-02-27,lp_business_emails,69,26,10,0.37681159420289856,0.14492753623188406,0.38461538461538464
2026-02-28,lp_academic_writing,32,12,4,0.375,0.125,0.3333333333333333
2026-02-28,lp_business_emails,44,14,7,0.3181818181818182,0.1590909090909091,0.5
