event_date,action,events,users,sessions
2026-02-01,did_click_lp,121,121,121
2026-02-01,did_install_grammarly,60,60,60
2026-02-01,try_grammarly,35,35,35
2026-02-02,did_click_lp,114,114,114
2026-02-02,did_install_grammarly,43,43,43
2026-02-02,try_grammarly,38,38,38
2026-02-03,did_click_lp,123,123,123
2026-02-03,did_install_grammarly,45,45,45
2026-02-03,try_grammarly,47,46,47
2026-02-04,did_click_lp,96,96,96
2026-02-04,did_install_grammarly,32,32,32
2026-02-04,try_grammarly,39,39,39
2026-02-05,did_click_lp,128,128,128
2026-02-05,did_install_grammarly,46,46,46
2026-02-05,try_grammarly,49,49,49
2026-02-06,did_click_lp,114,113,114
2026-02-06,did_install_grammarly,51,51,51
2026-02-06,try_grammarly,41,41,41
2026-02-07,did_click_lp,96,96,96
2026-02-07,did_install_grammarly,41,41,41
2026-02-07,try_grammarly,46,46,46
2026-02-08,did_click_lp,109,109,109
2026-02-08,did_install_grammarly,44,44,44
2026-02-08,try_grammarly,41,41,41
2026-02-09,did_click_lp,133,133,133
2026-02-09,did_install_grammarly,49,49,49
2026-02-09,try_grammarly,52,51,52
2026-02-10,did_click_lp,95,95,95
2026-02-10,did_install_grammarly,29,29,29
2026-02-10,try_grammarly,34,34,34
2026-02-11,did_click_lp,146,146,146
2026-02-11,did_install_grammarly,54,54,54
2026-02-11,try_grammarly,44,44,44
2026-02-12,did_click_lp,126,126,126
2026-02-12,did_install_grammarly,44,44,44
2026-02-12,try_grammarly,45,45,45
2026-02-13,did_click_lp,141,141,141
2026-02-13,did_install_grammarly,54,54,54
2026-02-13,try_grammarly,44,44,44
2026-02-14,did_click_lp,142,142,142
2026-02-14,did_install_grammarly,43,43,43
2026-02-14,try_grammarly,45,45,45
2026-02-15,did_click_lp,118,118,118
2026-02-15,did_install_grammarly,44,44,44
2026-02-15,try_grammarly,49,49,49
2026-02-16,did_click_lp,104,104,104
2026-02-16,did_install_grammarly,45,45,45
2026-02-16,try_grammarly,45,45,45
2026-02-17,did_click_lp,120,120,120
2026-02-17,did_install_grammarly,48,48,48
2026-02-17,try_grammarly,52,51,52
2026-02-18,did_click_lp,110,109,110
2026-02-18,did_install_grammarly,43,43,43
2026-02-18,try_grammarly,46,46,46
2026-02-19,did_click_lp,125,125,125
2026-02-19,did_install_grammarly,38,38,38
2026-02-19,try_grammarly,40,40,40
2026-02-20,did_click_lp,112,112,112
2026-02-20,did_install_grammarly,41,41,41
2026-02-20,try_grammarly,41,41,41
2026-02-21,did_click_lp,109,109,109
2026-02-21,did_install_grammarly,33,33,33
2026-02-21,try_grammarly,38,37,38
2026-02-22,did_click_lp,123,123,123
2026-02-22,did_install_grammarly,42,42,42
2026-02-22,try_grammarly,35,35,35
2026-02-23,did_click_lp,110,110,110
2026-02-23,did_install_grammarly,50,50,50
2026-02-23,try_grammarly,38,38,38
2026-02-24,did_click_lp,129,129,129
2026-02-24,did_install_grammarly,45,45,45
2026-02-24,try_grammarly,41,41,41
2026-02-25,did_click_lp,128,128,128
2026-02-25,did_install_grammarly,55,55,55
2026-02-25,try_grammarly,44,44,44
2026-02-26,did_click_lp,113,113,113
2026-02-26,did_install_grammarly,51,51,51
2026-02-26,try_grammarly,43,43,43
2026-02-27,did_click_lp,115,115,115
2026-02-27,did_install_grammarly,44,44,44
2026-02-27,try_grammarly,42,42,42
2026-02-28,did_click_lp,80,80,80
2026-02-28,did_install_grammarly,27,27,27
2026-02-28,try_grammarly,36,35,36
2026-03-01,try_grammarly,13,13,13
2026-03-02,try_grammarly,5,5,5
2026-03-03,try_grammarly,3,3,3
